название;тип;адрес;телефон;сайт
Домашний детский сад Домовёнок;Детский сад, ясли;к1561, Зеленоград;+7 (915) 114-90-68;domovenock.com
Детский сад Космонавтики;Детский сад, ясли;Садовая ул., 39Б, село Сидоровское;+7 (985) 911-44-20;kosmonavtiki.ru
Сказочный домик;Детский сад, ясли;Писемская ул., 19, микрорайон Клязьма, Пушкино;+7 (909) 962-03-48;detsad-sd.ru
Богатырь;Детский сад, ясли, центр развития ребёнка;Россия, Московская область, городской округ Пушкинский, городское поселение Правдинский;+7 (925) 033-86-13;bogatyr-dc.ru
Автономная Некоммерческая Организация Дошкольного Образования центр развития Ребенка Почемучки;Детский сад, ясли, дополнительное образование;Школьная ул., 12, Ивантеевка;+7 (925) 104-92-42;tap.link
Smile Fish;Детский сад, ясли, центр развития ребёнка;Речная ул., 4, д. Яковлевское;+7 (925) 333-33-10;smilefish.ru
Компас Монтессори;Центр развития ребёнка, спортивный клуб, секция, детский сад, ясли;к1822, Зеленоград;+7 (977) 368-50-78;www.compass-montessori.com
Город детства;Детский сад, ясли;9, территория ГП-2, д. Лапино;+7 (939) 555-23-60;goroddeti.com
Домашний детский сад Цветик-семицветик;Детский сад, ясли;Чкаловская ул., 10, Щёлково;+7 (909) 900-45-47;detsad-shcholkovo.ru
Детский сад Остров сокровищ;Детский сад, ясли;Хлебозаводская ул., 28, корп. 3, Ивантеевка;+7 (926) 353-70-90;taplink.cc
Иван да Марья;Детский сад, ясли, центр развития ребёнка;ул. Белинского, 3, Звенигород;+7 (926) 069-21-12;www.иван-да-марья.дети
Майский САДик;Детский сад, ясли, центр развития ребёнка, художественная мастерская;Туровская ул., 5, д. Горки;+7 (915) 314-83-88;maycadik.com
Детский центр УмНяша;Центр развития ребёнка, клуб для детей и подростков, детский сад, ясли;Южнобутовская ул., 117, Москва;+7 (499) 110-23-07;umnyasha.me
Ласточкино гнездо;Частная школа, детский сад, ясли, лицей;Вишнёвая ул., 2А, д. Мартемьяново;+7 (499) 272-74-46;lastochka-sadik.ru
Детский клуб Удивительные Дети;Центр развития ребёнка, детский сад, ясли;ул. Л. Толстого, 15, Пушкино;+7 (916) 316-61-24;удивительные.дети
Детский центр Happy Club;Центр развития ребёнка, клуб для детей и подростков, детский сад, ясли;к1145, Зеленоград;+7 (916) 000-11-45;happy-happy-club.ru
Английский в движении - Загорье;Детский сад, ясли;Михневская ул., 8, Москва;+7 (977) 300-33-06;engimo.ru
Sun School;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;1, коттеджный посёлок Эко-парк Ирбис;8 (800) 775-60-47;sunschool.ru
Детский сад Весна;Детский сад, ясли;Ясная ул., 14, Апрелевка;+7 (985) 427-82-15;www.vesnakids.ru
Маленькая страна;Детский сад, ясли;20В, д. Кромино;+7 (929) 986-49-64;www.detsad-aprelevka.ru
Лиса Лизавета;Детский сад, ясли, логопеды, детский лагерь отдыха;166, СНТ Солнечное;+7 (495) 740-20-97;lisa-lizaveta.ru
ИндиGO;Детский сад, ясли, спортивный клуб, секция, дополнительное образование, частная школа;ул. Свободы, 6А, Раменское;+7 (905) 505-15-14;indi-go.ru
АПушкин;Центр развития ребёнка, логопеды, детский сад, ясли, дополнительное образование;ул. Ирисов, 1, коттеджный посёлок Опушкино;+7 (904) 568-12-99;a-pushkin.com
Детский центр Детвора;Центр развития ребёнка, детский сад, ясли;ул. Горького, 8, Фрязино;+7 (903) 560-45-40;detvoraclub.ru
Большие маленькие;Детский сад, ясли;Центральная ул., 91, д. Сафоново;+7 (915) 360-41-89;bolmal.ru
Дворец творчества детей и молодёжи на Миусах;Дополнительное образование, спортивный клуб, секция, клуб для детей и подростков, учебный центр;ул. Александра Невского, 4, Москва;+7 (499) 938-49-59;cdt.mskobr.ru
Школа журналистики имени Владимира Мезенцева в Центральном Доме журналиста;Дополнительное образование, учебный центр;Никитский бул., 8А, Москва, Россия;+7 (495) 364-42-83;journs.ru
Государственное бюджетное образовательное учреждение дополнительного образования города Москвы центр творчества имени А. В. Косарева;Дополнительное образование, бассейн, клуб для детей и подростков;5-я Парковая ул., 60, Москва;+7 (499) 163-91-24;crtd.mskobr.ru
ЦДТ на Вадковском;Дополнительное образование;Вадковский пер., 3, Центральный административный округ, Тверской район, Москва;+7 (499) 972-62-37;navadkovscom.ru
Tumo Moscow;Дополнительное образование, курсы и мастер-классы;Мантулинская ул., 7, стр. 3, Москва;+7 (495) 646-02-73;tumo.moscow
Гермес;Дополнительное образование, центр развития ребёнка;Тимирязевская ул., 28, Москва;+7 (495) 568-17-88;germes.mskobr.ru
Центр развития творчества детей и юношества Пресня;Дополнительное образование;Глубокий пер., 7, Москва;+7 (495) 605-74-15;presnia.mskobr.ru
АНОО Хорошевская школа;Начальная школа, дополнительное образование;ул. Народного Ополчения, 3, корп. 2, Москва;+7 (495) 414-10-54;horoshkola.ru
Детская музыкальная школа имени А. К. Лядова;Музыкальное образование, дополнительное образование;ул. 1905 года, 8, Москва;+7 (499) 252-26-23;newmusicschool.ru
Отделение дополнительного художественного образования Мцхш при Рах;Курсы и мастер-классы, школа искусств;ул. Крымский Вал, 8, корп. 2, Москва;+7 (495) 241-10-75 (доб. 111);initial-art.ru
Созвездие;Общеобразовательная школа, начальная школа, центр развития ребёнка, дополнительное образование, учебный центр;Большая Комсомольская ул., 13Б, Красногорск;+7 (498) 568-56-11;center-psi.ru
Компьютерная академия Top;Компьютерные курсы, центр развития ребёнка, детский лагерь отдыха, дополнительное образование;Ленинградский просп., 80, корп. 17, Москва;+7 (499) 229-98-74;msk.top-academy.ru
Центр Арт-терапии;Дополнительное образование, школа искусств;Большой Афанасьевский пер., 15, стр. 1, Москва;+7 (495) 999-43-90;artterapiamos.ru
Детская школа искусств им. Ф. Шуберта;Школа искусств, дополнительное образование, музыкальное образование;ул. Лобачевского, 66Б, Москва;+7 (499) 431-04-87;schubert.arts.mos.ru
Центр творчества на Вадковском, структурное подразделение Россия молодая;Дополнительное образование;просп. Мира, 43, Москва;+7 (495) 681-03-65;navadkovscom.ru
ГБОУДО Дворец творчества детей и молодежи имени А. П. Гайдара;Дополнительное образование, центр развития ребёнка, учебный центр;12-я Новокузьминская ул., 6, корп. 2, Москва;+7 (495) 379-69-34;dpgaidar.mskobr.ru
Художественная школа Вдохновение;Курсы и мастер-классы, дополнительное образование, учебный центр;Шлюзовая наб., 2/1с4, Москва;+7 (499) 795-77-38;www.izocenter.ru
Школа акварели Сергея Андрияки;Школа искусств, дополнительное образование;Гороховский пер., 17, Москва;+7 (495) 632-18-17;school.aaii.ru
Дом детского творчества на Таганке;Дополнительное образование, клуб для детей и подростков, центр развития ребёнка;Рабочая ул., 30, стр. 1, Москва;+7 (495) 678-21-46;ddt-taganka.mskobr.ru
Детская школа искусств Вдохновение;Дополнительное образование, школа искусств;Мичуринский просп., 9Г, Москва;+7 (499) 726-58-07;vdohnovenie.arts.mos.ru
Центр детского творчества Ново-Переделкино;Дополнительное образование;Чоботовская ул., 5, корп. 1, Москва;+7 (495) 731-67-28;cdtnp.ru
Школа Рисования и Живописи на Татарской;Курсы и мастер-классы, дополнительное образование, учебный центр;Большая Татарская ул., 35с7-9, Москва;+7 (499) 753-15-23;izokurs.ru
ГБОУ школа № 1505, отделение дополнительного образования;Дополнительное образование;Большая Черкизовская ул., 23, Москва;+7 (495) 963-77-44;gym1505.ru
ГБОУДО Дворец творчества детей и молодежи имени А. П. Гайдара;Дополнительное образование, центр развития ребёнка, учебный центр;2-й Карачаровский пр., 1, Москва;+7 (499) 174-73-57;dpgaidar.mskobr.ru
Феникс;Школа искусств, музыкальное образование, школа танцев;пр. Дежнёва, 8, корп. 1, Москва;+7 (499) 477-11-44;fenix.arts.mos.ru
Оано Лидеры;Частная школа, дополнительное образование;Никольская ул., 16, село Ромашково;+7 (495) 746-63-36;s-leaders.ru
Театральная и танцевальная студия для детей Ирбис;Клуб для детей и подростков, центр развития ребёнка, театральное и цирковое образование, дополнительное образование, школа искусств;3-я ул. Ямского Поля, 24, Москва;+7 (499) 325-33-56;lp5.irbis-studio.ru
ГБУ Московская волейбольная академия;Спортивная школа, дополнительное образование;Большой Харитоньевский пер., 22/1, Москва;+7 (495) 624-62-89;s21.mossport.ru
Top;Компьютерные курсы, центр развития ребёнка, дополнительное образование;ул. Миклухо-Маклая, 36А, Москва;+7 (495) 104-59-94;msk.top-academy.ru
Без Уроков;Дополнительное образование, курсы иностранных языков, услуги репетиторов;Большой Симоновский пер., 2, Москва;+7 (991) 222-74-69;www.bezurokov.ru
Творческий центр Артист;Курсы и мастер-классы, киношкола, центр развития ребёнка, дополнительное образование, школа искусств;3-я Фрунзенская ул., 19, Москва;+7 (968) 506-55-04;artistkids.ru
Гермес;Дополнительное образование, центр развития ребёнка;Дубнинская ул., 21, Москва;+7 (495) 568-17-88;germes.mskobr.ru
Как Здорово!;Центр развития ребёнка, клуб для детей и подростков, дополнительное образование;Жулебинский бул., 33, корп. 1, Москва;+7 (495) 108-28-14;kakzdorovo.center
Одинцовский центр эстетического воспитания;Дополнительное образование, школа искусств;ул. Маршала Жукова, 29, Одинцово;+7 (495) 596-25-83;new.dop.mosreg.ru
Maximum Education;Учебный центр, дополнительное образование;ул. Покровка, 28, стр. 2, Москва;8 (800) 500-31-98;maximumtest.ru
Московский колледж импровизационной музыки;Музыкальное образование, дополнительное образование, учебный центр;просп. Андропова, 48, стр. 2, Москва;+7 (499) 612-13-46;mcim.ru
Международная школа арт-терапии;Дополнительное образование, врач-психотерапевт;ул. Большая Полянка, 2, стр. 2, Москва;+7 (495) 128-68-00;artterapia.ru
Центр эстетического воспитания детей;Дополнительное образование;Покровский бул., 10, стр. 1, Москва;+7 (495) 917-90-13;cevdcao.mskobr.ru
Семь пядей;Центр развития ребёнка, клуб для детей и подростков, дополнительное образование;ул. Васильцовский Стан, 5, корп. 2, Москва;+7 (495) 677-95-21;www.centr7pyadei.ru
Центр досуга и творчества Малахит;Центр развития ребёнка, детский сад, ясли, дополнительное образование;просп. Мира, 161, Москва;+7 (499) 187-11-33;www.cdt-malahit.ru
ГБОУ школа № 814, корпус социализации и дополнительного образования;Дополнительное образование;Веерная ул., 38, корп. 1, Москва;+7 (495) 442-95-45;sch814z.mskobr.ru
Детская школа искусств № 14;Школа искусств, дополнительное образование;Пронская ул., 7, Москва;+7 (495) 705-61-71;14.arts.mos.ru
Улыбка;Дополнительное образование, логопеды, центр развития ребёнка;Кантемировская ул., 29, корп. 1, Москва;+7 (916) 543-85-23;logocenter.info
Рождество;Клуб для детей и подростков, центр развития ребёнка, школа искусств;Большой Балканский пер., 13/47к4, Москва;+7 (495) 504-56-12;www.rojdestvo.ru
Московская школа кино;Дополнительное образование, курсы и мастер-классы, учебный центр;Нижняя Сыромятническая ул., 10, стр. 2, Москва;8 (800) 777-85-35;moscowfilmschool.ru
Детская школа искусств № 7;Школа искусств, театральное и цирковое образование, дополнительное образование;Таймырская ул., 5, стр. 3, Москва;+7 (495) 474-57-07;7.arts.mos.ru
Центральный Детский Спортивный клуб;Центр развития ребёнка, дополнительное образование;Ленинградский просп., 39, стр. 1, Москва;+7 (495) 669-92-87;www.cdskcska.ru
ГБОУ школа № 1601 имени Героя Советского Союза Е. К. Лютикова Медицинский корпус;Общеобразовательная школа, дополнительное образование;ул. Нижняя Масловка, 16, Москва;+7 (495) 613-37-07;cos1601.mskobr.ru
Детская школа искусств;Школа искусств, дополнительное образование;Октябрьская ул., 6, Королёв;+7 (495) 512-55-88;dshikorolev.ru
Государственное бюджетное общеобразовательное учреждение города Москвы школа № 1259;Общеобразовательная школа, дополнительное образование;5-й Монетчиковский пер., 7, Москва;+7 (495) 953-04-16;sch1259.mskobr.ru
Бэби-клуб;Клуб для детей и подростков, центр развития ребёнка, детский сад, ясли;Ходынский бул., 9, Москва;+7 (985) 869-02-74;baby-club.ru
Бэби-клуб;Центр развития ребёнка, клуб для детей и подростков, детский сад, ясли;1-й Спасоналивковский пер., 18, стр. 2, Москва;+7 (985) 021-57-55;baby-club.ru
Бэби-клуб;Центр развития ребёнка, клуб для детей и подростков, детский сад, ясли;ул. Пречистенка, 17/9, Москва;8 (800) 100-20-24;baby-club.ru
Созвездие;Центр развития ребёнка, детский сад, ясли;ул. Авиаконструктора Микояна, 14, корп. 4, Москва;+7 (499) 686-19-35;www.center-sozvezdie.ru
Детский творческий центр Джельсомино;Центр развития ребёнка, дополнительное образование, школа танцев;ул. Полины Осипенко, 10, корп. 1, Москва;+7 (969) 769-43-94;dzhelsomino.ru
Бэби-клуб;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка, дополнительное образование;Оболенский пер., 9, корп. 2, Москва;8 (800) 100-20-24;hamovniki.baby-club.ru
Lingua Kids;Центр развития ребёнка, детский сад, ясли, курсы иностранных языков;Карамышевская наб., 36, Москва;+7 (977) 099-84-06;linguakids.ru
Совушата;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;ул. Милашенкова, 16, Москва;+7 (968) 030-09-90;www.sovushatki.ru
МилГрад;Дополнительное образование;1-я Владимирская ул., 33, корп. 1, Москва;+7 (968) 871-09-74;милград.рф
Частный детский сад Мой Гений;Детский сад, ясли, логопеды, центр развития ребёнка;ул. Маршала Тухачевского, 58, корп. 3, Москва;+7 (958) 100-91-13;geniy-expert.ru
Smart Kids;Детский сад, ясли, центр развития ребёнка;ул. Авиаконструктора Микояна, 14, корп. 4, Москва;+7 (915) 310-70-70;sm-kids.ru
Центр культуры Хорошевский;Культурный центр, спортивный клуб, секция, центр развития ребёнка;Хорошёвское ш., 52, корп. 2, Москва;+7 (495) 941-54-25;horoshevskiy-deti.ru
Discovery English Preschool;Центр развития ребёнка, детский сад, ясли, курсы иностранных языков;Шмитовский пр., 20, Москва;+7 (499) 877-59-47;discoveryschool.ru
Наш Монтессори;Центр развития ребёнка, детский сад, ясли, семейный психологический центр;ул. Маршала Тухачевского, 32, корп. 2, Москва;+7 (926) 805-13-33;nashmontessori.ru
Центр плавания для детей от 1 месяца ДО 5 лет Поколение;Центр развития ребёнка, бассейн;просп. Вернадского, 27, корп. 1, Москва;+7 (966) 666-49-58;aqua-msk.ru
Бэби-клуб;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;ул. Пудовкина, 7, Москва;+7 (929) 546-40-25;baby-club.ru
Артель;Центр развития ребёнка, клуб для детей и подростков, школа танцев;Малая Черкизовская ул., 22, Москва;+7 (966) 736-45-92;artel-centr.ru
Юный мастер;Центр развития ребёнка, клуб досуга;ул. Фридриха Энгельса, 63, стр. 1, Москва;+7 (916) 196-57-78;юныймастер.рф
Детский клуб Развивалочка;Центр развития ребёнка, организация и проведение детских праздников, клуб для детей и подростков;Сосновая ул., 32, Одинцово;+7 (939) 555-74-06;www.razvivalochka.ru
Детский клуб Успех;Центр развития ребёнка, клуб для детей и подростков, дополнительное образование;Центральная ул., 8, дачный посёлок Лесной Городок;+7 (917) 516-37-96;www.klub-uspeh.ru
Лист-Листочек;Центр развития ребёнка, логопеды;Селигерская ул., 18, корп. 4, Москва;+7 (495) 744-38-87;list-listochek.ru
ГБУК г. Москвы Окц ЦАО библиотека № 1 имени А. С. Грибоедова, Детский центр им. Х. К. Андерсена;Центр развития ребёнка;просп. Мира, 68, Москва;+7 (495) 684-46-10;www.cbs2cao.ru
Город талантов;Центр развития ребёнка, дополнительное образование;Бобруйская ул., 10, корп. 1, Москва;+7 (977) 895-54-48;www.gorod-talantov.ru
Петра;Центр развития ребёнка, логопеды, дополнительное образование;ул. Рогожский Посёлок, 29, стр. 8, Москва;+7 (926) 545-41-54;petra-center.ru
Школа для дошкольников Нильс;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;Новослободская ул., 31, стр. 4, Москва;+7 (915) 129-85-45;kids-nils.ru
Happy Panda;Центр развития ребёнка, клуб для детей и подростков, курсы иностранных языков;Дмитровское ш., 169, корп. 5, Москва;+7 (495) 145-90-10;happypanda-center.ru
ГБУ Молодежный центр Галактика, филиал Детский центр Отражение;Центр развития ребёнка, клуб для детей и подростков;Сколковское ш., 26, корп. 2, Москва;+7 (495) 447-91-72;mcgalaktika.ru
Вверх;Центр развития ребёнка, логопеды, клуб для детей и подростков;ул. Говорова, 83, Одинцово;+7 (977) 640-51-40;center-vverx.ru
Аз-бу-ка;Центр развития ребёнка, клуб для детей и подростков;Студенческая ул., 32, Москва;+7 (499) 243-56-90;www.az-bu-ka.ru
AMAKids;Центр развития ребёнка, дополнительное образование;ул. Академика Королёва, 8, корп. 1, Москва;8 (800) 500-39-79;amakids.ru
Бэби-клуб;Центр развития ребёнка, детский сад, ясли;Корабельная ул., 17, корп. 3, Москва;+7 (931) 009-50-94;baby-club.ru
Вестники;Клуб для детей и подростков, организация и проведение детских праздников, центр развития ребёнка;ул. Юннатов, с13, Химки;+7 (916) 184-80-16;centrhimki.ru
Сова;Клуб для детей и подростков, центр развития ребёнка;Ломоносовский просп., 6, Москва;+7 (916) 530-19-24;sova-lomonosovskij-prospekt.clients.site
Детский центр Edison;Центр развития ребёнка, детский лагерь отдыха, дополнительное образование;Звенигородская ул., 8, корп. 1, Москва;+7 (499) 394-21-33;www.edisonclub.ru
Детский развивающий центр Кеша;Центр развития ребёнка;ул. Артамонова, 16, корп. 3, Москва;+7 (901) 185-64-77;www.center-kesha.ru
Открытый мир;Центр развития ребёнка, логопеды, организация и проведение детских праздников;ул. Терешковой, 7, Балашиха;+7 (495) 529-13-31;www.openmir.ru
Капитошка;Центр развития ребёнка, логопеды, дополнительное образование;ул. Фонвизина, 6, Москва;+7 (925) 789-55-12;dc-kapi.ru
Детский центр развития и социализации Нейросфера;Центр развития ребёнка, клуб для детей и подростков, дополнительное образование;Зоологическая ул., 22, Москва;+7 (499) 766-73-18;www.neirosfera.ru
Sun School;Детский сад, ясли, логопеды, центр развития ребёнка;2-я Черногрязская ул., 6, корп. 2, Москва;8 (800) 775-60-47;sunschool.ru
Тапуз;Детский сад, ясли, центр развития ребёнка, дополнительное образование;Большая Никитская ул., 47, стр. 2, Москва;+7 (495) 787-45-60;tapuz.jcc.ru
Гнездо для мам и малышей;Центр развития ребёнка, школа для будущих мам, дополнительное образование;Кочновский пр., 4, корп. 2, Москва;+7 (965) 361-05-15;prozemlyan.ru
Логопедический центр Улыбка;Центр развития ребёнка, логопеды, дополнительное образование;ул. Москворечье, 4, корп. 5, Москва;+7 (916) 543-85-23;logocenter.info
Маленький принц;Центр развития ребёнка, клуб для детей и подростков, детский сад, ясли, психологическая служба;Новослободская ул., 55, стр. 1, Москва;+7 (965) 377-73-29;www.kinder-center.ru
Детский центр развития Сказочная страна;Центр развития ребёнка, дополнительное образование, учебный центр;ул. Толбухина, 5, корп. 2, Москва;+7 (495) 544-80-05;skazochnaya-strana-centr.ru
Детский Развивающий центр Город Академиков;Центр развития ребёнка;Заповедная ул., 18, корп. 3, Москва;+7 (495) 767-50-97;gorodakademikov.ru
Детский центр Талантиум;Центр развития ребёнка, детский сад, ясли, курсы и мастер-классы;Ботаническая ул., 17, корп. 2, Москва;+7 (904) 567-43-07;talantium.club
FunsCool;Детский сад, ясли, центр развития ребёнка;Новозаводская ул., 8, Москва;+7 (499) 504-43-55;moscow.funscool.ru
Кузя;Центр развития ребёнка, детские игровые залы и площадки, логопеды;Полярная ул., 22, Москва;+7 (903) 295-77-72;dc-kuzya.ru
Умка;Центр развития ребёнка;Сиреневый бул., 46/35к4, Москва;+7 (499) 464-12-29;www.umkavao.ru
Школа скорочтения и развития интеллекта Iq007;Дополнительное образование, клуб для детей и подростков, центр развития ребёнка, учебный центр;ул. Усиевича, 1, Москва;+7 (495) 799-90-07 (доб. 2);iq007.ru
Развитие;Центр развития ребёнка, семейный психологический центр, клуб досуга, психологическая служба;Большой Сухаревский пер., 6, Москва;+7 (905) 778-07-37;1vitie.ru
Люмини;Центр развития ребёнка, детские игровые залы и площадки, детский сад, ясли;Краснобогатырская ул., 24, Москва;+7 (925) 880-58-00;lumini.club
Детский клуб Буракова;Центр развития ребёнка, клуб для детей и подростков, курсы иностранных языков;Дмитровское ш., 165Е, корп. 12, Москва;+7 (966) 666-70-21;клуб-буракова.рф
Амадеус;Центр развития ребёнка, клуб для детей и подростков, детский сад, ясли;ул. Молодцова, 4А, Москва;+7 (905) 768-98-17;studio-amadeus.ru
Надежда-Н;Центр развития ребёнка, клуб для детей и подростков, курсы иностранных языков;ул. Милашенкова, 8, Москва;+7 (495) 639-36-17;nadejdan.club
Детский центр развития интеллектов ABC Gym;Центр развития ребёнка, клуб для детей и подростков;ул. Ленина, 11, село Ильинское;+7 (965) 139-96-96;abcgym.ru
Бэби-клуб;Центр развития ребёнка, клуб для детей и подростков, детский сад, ясли;Полярная ул., 54, корп. 1, Москва;+7 (926) 705-04-72;baby-club.ru
Счастливое Детство;Логопеды, центр развития ребёнка;Дубнинская ул., 53, корп. 1, Москва;+7 (916) 260-46-86;www.klubdetstvo.ru
Хоровод;Центр развития ребёнка, клуб для детей и подростков, дополнительное образование;Снежная ул., 17, корп. 2, Москва;+7 (495) 505-50-14;horovodclub.ru
Теремок;Центр развития ребёнка, логопеды, клуб для детей и подростков, услуги репетиторов;Новогиреевская ул., 4, корп. 1, Москва;+7 (929) 937-15-16;clubteremok.ru
Peekaboovillage;Центр развития ребёнка;Озёрная ул., 9, Москва;+7 (926) 676-23-55;peekaboovillage.ru
Янтарное Яблоко;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;ул. Маршала Катукова, 24, корп. 4, Москва;+7 (964) 588-61-99;deti-strogino.ru
Детский развивающий центр УМняшки;Детский сад, ясли, логопеды, центр развития ребёнка;ул. Дзержинского, 3, Реутов;+7 (903) 251-11-86;umkids.ru
Школа быстрого чтения Олега Андреева;Центр развития ребёнка, учебный центр;1-й Колобовский пер., 25, стр. 2, Москва;8 (800) 707-27-28;fastread.ru
Центр культуры Хорошевский;Культурный центр, спортивный клуб, секция, центр развития ребёнка;ул. Куусинена, 7, корп. 1, Москва;+7 (499) 195-86-30;horoshevskiy-deti.ru
Школа скорочтения и развития интеллекта Iq007;Центр развития ребёнка, дополнительное образование, учебный центр;Профсоюзная ул., 45, Москва;+7 (495) 297-00-07;mskiq007.ru
Английский и Развитие Интеллекта Englishkidclub;Центр развития ребёнка, курсы иностранных языков, услуги репетиторов;ул. Ленина, 24, село Ильинское;+7 (499) 390-32-52;www.englishkidclub.com
Бэби-клуб;Центр развития ребёнка, клуб для детей и подростков, детский сад, ясли;ул. Гарибальди, 7, Москва;8 (800) 100-20-24;baby-club.ru
Центр развития и творчества Умный ребёнок;Центр развития ребёнка, дополнительное образование;Молодёжная ул., 8, Балашиха;+7 (495) 524-20-83;www.umnrebenok.ru
Центр творческого развития детей Солнышко;Центр развития ребёнка, детский сад, ясли;Лётная ул., 9, Долгопрудный;+7 (915) 287-38-11;suncreative.ru
Школа развития интеллекта Iq007;Центр развития ребёнка, клуб для детей и подростков, дополнительное образование, учебный центр;Ленинский просп., 99, Москва;+7 (495) 297-00-07;mskiq007.ru
English Nursery and Primary School;Детский сад, ясли, начальная школа, центр развития ребёнка;Карамышевская наб., 10, корп. 2, Москва;+7 (901) 256-45-72;englishnursery.ru
Slamikids;Детский сад, ясли, центр развития ребёнка, учебный центр;Шебашёвский пр., 3, Москва;+7 (495) 150-52-04;slamikids.ru
Школа скорочтения и развития интеллекта Iq007;Центр развития ребёнка, клуб для детей и подростков, дополнительное образование, учебный центр;Флотская ул., 76, Москва;+7 (495) 997-30-07;sao.iq007.pro
Призма;Центр развития ребёнка, детский сад, ясли, компьютерные курсы;Дзержинское ш., 5/4, Котельники;+7 (995) 500-24-42;prisma.family
